#Top: ios   Floorplan: io_1   Part: xc7a35tcsg324-2,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: ParsaMalekpour   on: Tue Jun 30 13:17:30 2026,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2019.1   by: xbuild   on: Fri May 24 14:49:42 MDT 2019,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Average Trace Delay,,,,,,,,,,,,,,,,,,,
16,B9,IOB_X0Y127,IO_L11N_T1_SRCC_16,125.013,126.269,125.641,,,,,,,,,,,,,,,,,,,
16,B8,IOB_X0Y126,IO_L12P_T1_MRCC_16,131.825,133.15,132.4875,,,,,,,,,,,,,,,,,,,
16,A8,IOB_X0Y125,IO_L12N_T1_MRCC_16,135.654,137.017,136.3355,,,,,,,,,,,,,,,,,,,
16,C11,IOB_X0Y124,IO_L13P_T2_MRCC_16,106.573,107.644,107.1085,,,,,,,,,,,,,,,,,,,
16,C10,IOB_X0Y123,IO_L13N_T2_MRCC_16,109.879,110.984,110.4315,,,,,,,,,,,,,,,,,,,
16,A10,IOB_X0Y122,IO_L14P_T2_SRCC_16,134.392,135.742,135.067,,,,,,,,,,,,,,,,,,,
16,A9,IOB_X0Y121,IO_L14N_T2_SRCC_16,133.481,134.823,134.152,,,,,,,,,,,,,,,,,,,
16,D10,IOB_X0Y111,IO_L19N_T3_VREF_16,62.014,62.637,62.3255,,,,,,,,,,,,,,,,,,,
16,B10,,VCCO_16,,,0,,,,,,,,,,,,,,,,,,VCCO_16,
34,K6,IOB_X1Y49,IO_0_34,33.75,34.089,33.9195,,,,,,,,,,,,,,,,,,,
34,L1,IOB_X1Y48,IO_L1P_T0_34,73.611,74.351,73.981,,,,,,,,,,,,,,,,,,,
34,M1,IOB_X1Y47,IO_L1N_T0_34,74.188,74.934,74.561,,,,,,,,,,,,,,,,,,,
34,K3,IOB_X1Y46,IO_L2P_T0_34,57.63,58.209,57.9195,,,,,,,,,,,,,,,,,,,
34,L3,IOB_X1Y45,IO_L2N_T0_34,59.085,59.679,59.382,,,,,,,,,,,,,,,,,,,
34,N2,IOB_X1Y44,IO_L3P_T0_DQS_34,76.609,77.379,76.994,,,,,,,,,,,,,,,,,,,
34,N1,IOB_X1Y43,IO_L3N_T0_DQS_34,70.371,71.079,70.725,,,,,,,,,,,,,,,,,,,
34,M3,IOB_X1Y42,IO_L4P_T0_34,56.717,57.287,57.002,,,,,,,,,,,,,,,,,,,
34,M2,IOB_X1Y41,IO_L4N_T0_34,57.185,57.76,57.4725,,,,,,,,,,,,,,,,,,,
34,K5,IOB_X1Y40,IO_L5P_T0_34,53.967,54.509,54.238,,,,,,,,,,,,,,,,,,,
34,L4,IOB_X1Y39,IO_L5N_T0_34,56.81,57.381,57.0955,,,,,,,,,,,,,,,,,,,
34,L6,IOB_X1Y38,IO_L6P_T0_34,54.929,55.481,55.205,,,,,,,,,,,,,,,,,,,
34,L5,IOB_X1Y37,IO_L6N_T0_VREF_34,55.987,56.549,56.268,,,,,,,,,,,,,,,,,,,
34,U1,IOB_X1Y36,IO_L7P_T1_34,100.946,101.961,101.4535,,,,,,,,,,,,,,,,,,,
34,V1,IOB_X1Y35,IO_L7N_T1_34,100.632,101.643,101.1375,,,,,,,,,,,,,,,,,,,
34,U4,IOB_X1Y34,IO_L8P_T1_34,113.652,114.794,114.223,,,,,,,,,,,,,,,,,,,
34,U3,IOB_X1Y33,IO_L8N_T1_34,112.86,113.994,113.427,,,,,,,,,,,,,,,,,,,
34,U2,IOB_X1Y32,IO_L9P_T1_DQS_34,94.142,95.088,94.615,,,,,,,,,,,,,,,,,,,
34,V2,IOB_X1Y31,IO_L9N_T1_DQS_34,99.902,100.906,100.404,,,,,,,,,,,,,,,,,,,
34,V5,IOB_X1Y30,IO_L10P_T1_34,99.029,100.024,99.5265,,,,,,,,,,,,,,,,,,,
34,V4,IOB_X1Y29,IO_L10N_T1_34,104.35,105.399,104.8745,,,,,,,,,,,,,,,,,,,
34,R3,IOB_X1Y28,IO_L11P_T1_SRCC_34,76.616,77.386,77.001,,,,,,,,,,,,,,,,,,,
34,T3,IOB_X1Y27,IO_L11N_T1_SRCC_34,77.72,78.501,78.1105,,,,,,,,,,,,,,,,,,,
34,T5,IOB_X1Y26,IO_L12P_T1_MRCC_34,81.11,81.925,81.5175,,,,,,,,,,,,,,,,,,,
34,T4,IOB_X1Y25,IO_L12N_T1_MRCC_34,79.228,80.024,79.626,,,,,,,,,,,,,,,,,,,
34,N5,IOB_X1Y24,IO_L13P_T2_MRCC_34,52.288,52.813,52.5505,,,,,,,,,,,,,,,,,,,
34,P5,IOB_X1Y23,IO_L13N_T2_MRCC_34,53.376,53.912,53.644,,,,,,,,,,,,,,,,,,,
34,P4,IOB_X1Y22,IO_L14P_T2_SRCC_34,62.068,62.692,62.38,,,,,,,,,,,,,,,,,,,
34,P3,IOB_X1Y21,IO_L14N_T2_SRCC_34,59.007,59.6,59.3035,,,,,,,,,,,,,,,,,,,
34,P2,IOB_X1Y20,IO_L15P_T2_DQS_34,64.45,65.098,64.774,,,,,,,,,,,,,,,,,,,
